Average Cost for two,Votes,Country Code,City,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Cuisine_Count,Cuisine_avg_rating,Aggregate rating
0.0,0.24857976342664717,3.351163685324101,3.3314049586776857,3.351163685324101,0,0,0,1,3,2.297643100161111,3.1
0.0,-0.04319946899449578,3.351163685324101,3.1048780487804875,3.351163685324101,0,0,0,1,1,2.682010582010582,3.6
-0.6724630660295038,-0.541557244467138,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,1,2.4893536121673003,3.0
-0.27929485481125355,0.038104632153601124,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,3,2.5637731255482312,3.3
0.3939745464007345,0.019613001998910876,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,2,3,2.5854852941353395,3.3
1.285155586876936,0.17521509025031898,3.351163685324101,3.805263157894737,3.351163685324101,0,0,0,4,2,2.5670112111649863,4.0
-0.9509535906389222,-0.29141836740531174,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,1,2.4893536121673003,2.8
1.462566263797931,0.3381136362529188,3.351163685324101,3.3314049586776857,3.351163685324101,1,0,0,3,3,3.30169914806598,2.1
0.21677971001738924,0.5186497188606114,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,2,2,2.414964650241666,3.8
0.11441054097061731,1.0348201830988857,3.351163685324101,3.2977329192546585,3.351163685324101,0,1,0,1,1,2.557296954314721,3.9
-0.6724630660295038,-1.1212191210878772,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,1,2.6224334600760457,0.0
0.9834066925810585,0.626630500324617,3.351163685324101,3.2977329192546585,3.351163685324101,0,1,0,3,3,2.5854852941353395,3.2
1.7822654058663612,-0.07986304997633424,3.351163685324101,3.2977329192546585,3.351163685324101,1,0,0,4,4,2.794135686085572,2.7
1.0680522955595768,1.1083283539281095,3.351163685324101,4.378947368421053,3.351163685324101,1,0,0,3,3,3.4146097861633287,4.4
0.8906956281906943,0.11740553524105879,3.351163685324101,3.975,3.351163685324101,0,0,0,3,1,2.6242258652094717,3.8
-1.3425191254672713,-0.541557244467138,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,1,2.320132743362832,3.1
1.462566263797931,1.0178783305337682,3.351163685324101,3.154280510018215,3.351163685324101,1,1,0,3,1,2.6242258652094717,3.7
-0.9509535906389222,0.3416493594586343,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,3,2.657858661916205,3.5
